date,api_card_id,card_name,set,image_url,printing,market_price,low_price,median_price,last_updated
2026-04-12,36749,Cynthia's Ambition,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/477052.jpg,Foil,18.62,12.16,,2026-02-19T03:02:12.336Z
2026-04-12,36745,Gardenia's Vigor,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/477058.jpg,Foil,10.97,8.99,,2026-02-19T03:02:12.336Z
2026-04-12,36732,Irida,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/478092.jpg,Foil,6.91,5.0,,2026-02-19T03:02:08.119Z
2026-04-12,36734,Melony,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/478093.jpg,Foil,6.2,3.5,,2026-02-19T03:02:08.119Z
2026-04-12,36731,Roxanne,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/478096.jpg,Foil,4.99,2.96,,2026-02-19T03:02:08.119Z
2026-04-12,16268,Katy,Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/490095.jpg,Holofoil,2.84,1.12,,2026-04-11T08:10:23.908Z
2026-04-12,16253,Miriam,Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/490096.jpg,Holofoil,6.05,3.0,,2026-04-11T08:10:23.908Z
2026-04-12,16245,Penny,Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/490097.jpg,Holofoil,4.18,2.99,,2026-04-11T08:10:23.908Z
2026-04-12,16226,"Professor’s Research

(Professor Sada)",Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/490098.jpg,Holofoil,2.71,1.42,,2026-04-11T08:10:23.908Z
2026-04-12,16301,Miriam,Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/487061.jpg,Holofoil,25.9,22.7,,2026-04-11T08:10:23.908Z
2026-04-12,16231,Penny,Scarlet & Violet Base,https://product-images.tcgplayer.com/fit-in/400x400/490041.jpg,Holofoil,6.5,2.98,,2026-04-11T08:10:23.908Z
2026-04-12,18304,Iono,SV Promos,https://product-images.tcgplayer.com/fit-in/400x400/545661.jpg,Holofoil,14.01,10.0,,2026-04-11T08:15:50.972Z
2026-04-12,15657,Dendra,Paldea Evolved,https://product-images.tcgplayer.com/fit-in/400x400/497665.jpg,Holofoil,2.11,1.25,,2026-04-11T08:21:29.850Z
2026-04-12,15585,Iono,Paldea Evolved,https://product-images.tcgplayer.com/fit-in/400x400/497669.jpg,Holofoil,10.06,8.35,,2026-04-11T08:21:29.850Z
2026-04-12,15752,Dendra,Paldea Evolved,https://product-images.tcgplayer.com/fit-in/400x400/497686.jpg,Holofoil,8.68,6.99,,2026-04-11T08:21:29.850Z
2026-04-12,15651,Iono,Paldea Evolved,https://product-images.tcgplayer.com/fit-in/400x400/497689.jpg,Holofoil,52.15,43.62,,2026-04-11T08:21:29.850Z
2026-04-12,20460,Geeta,Obsidian Flames,https://product-images.tcgplayer.com/fit-in/400x400/509967.jpg,Foil,1.11,0.07,,2026-02-19T02:45:08.848Z
2026-04-12,20454,Poppy,Obsidian Flames,https://product-images.tcgplayer.com/fit-in/400x400/509973.jpg,Foil,1.35,0.5,,2026-02-19T02:45:06.546Z
2026-04-12,20469,Ryme,Obsidian Flames,https://product-images.tcgplayer.com/fit-in/400x400/509975.jpg,Holofoil,1.05,0.46,,2026-04-11T08:20:42.141Z
2026-04-12,20470,Geeta,Obsidian Flames,https://product-images.tcgplayer.com/fit-in/400x400/509986.jpg,Foil,2.68,1.2,,2026-02-19T02:45:08.848Z
2026-04-12,20462,Poppy,Obsidian Flames,https://product-images.tcgplayer.com/fit-in/400x400/509987.jpg,Foil,2.74,1.0,,2026-02-19T02:45:08.848Z
2026-04-12,21860,Daisy’s Help,151,https://product-images.tcgplayer.com/fit-in/400x400/517042.jpg,Foil,2.66,1.2,,2026-02-19T02:46:32.308Z
2026-04-12,21854,Erika’s Invitation,151,https://product-images.tcgplayer.com/fit-in/400x400/517176.jpg,Foil,7.13,2.5,,2026-02-19T02:46:32.308Z
2026-04-12,21861,Erika’s Invitation,151,https://product-images.tcgplayer.com/fit-in/400x400/517049.jpg,Foil,16.08,12.0,,2026-02-19T02:46:32.308Z
2026-04-12,15961,Mela,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523917.jpg,Holofoil,2.39,0.58,,2026-04-11T08:25:47.773Z
2026-04-12,15979,Parasol Lady,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523919.jpg,Holofoil,4.43,2.13,,2026-04-11T08:25:47.773Z
2026-04-12,15928,Professor Sada’s Vitality,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523920.jpg,Holofoil,1.84,1.0,,2026-04-11T08:25:47.773Z
2026-04-12,15983,Rika,Paradox Rift,https://product-images.tcgplayer.com/fit-in/400x400/523922.jpg,Holofoil,2.48,1.49,,2026-04-11T08:25:47.773Z
